"HR_DATE","HR_KD_STORE","SUM(HR_NET_VALUE)"
2023-04-30 00:00:00.000,TH28,6314732.39
2023-05-01 00:00:00.000,TH28,5066593.79
2023-05-02 00:00:00.000,TH28,6499983.81
2023-05-03 00:00:00.000,TH28,4627548.65
2023-05-04 00:00:00.000,TH28,6782688.24
2023-05-05 00:00:00.000,TH28,4402027.08
2023-05-06 00:00:00.000,TH28,5466474.81
2023-05-07 00:00:00.000,TH28,5839628
2023-05-08 00:00:00.000,TH28,4772369.46
2023-05-09 00:00:00.000,TH28,4831338.74
2023-05-10 00:00:00.000,TH28,5274892.12
2023-05-11 00:00:00.000,TH28,3757030.73
2023-05-12 00:00:00.000,TH28,4548598.32
2023-05-13 00:00:00.000,TH28,5485092.06
2023-05-14 00:00:00.000,TH28,7272093.43
2023-05-15 00:00:00.000,TH28,4091431.56
2023-05-16 00:00:00.000,TH28,4274052.16
2023-05-17 00:00:00.000,TH28,4376203.61
2023-05-18 00:00:00.000,TH28,4699985.45
2023-05-19 00:00:00.000,TH28,5601110.78
2023-05-20 00:00:00.000,TH28,6656302.1
2023-05-21 00:00:00.000,TH28,5995753.4
2023-05-22 00:00:00.000,TH28,4353818.82
2023-05-23 00:00:00.000,TH28,4981708.27
2023-05-24 00:00:00.000,TH28,3729964.79
2023-05-25 00:00:00.000,TH28,4940692.84
2023-05-26 00:00:00.000,TH28,5388135.2
2023-05-27 00:00:00.000,TH28,7167747.24
2023-05-28 00:00:00.000,TH28,7013720.91
2023-05-29 00:00:00.000,TH28,4374057.71
2023-05-30 00:00:00.000,TH28,4401175.67
2023-05-31 00:00:00.000,TH28,6116191.06
2023-06-01 00:00:00.000,TH28,6824873.6
2023-06-02 00:00:00.000,TH28,7299791.19
2023-06-03 00:00:00.000,TH28,8222998.28
2023-06-04 00:00:00.000,TH28,8372006.3
2023-06-05 00:00:00.000,TH28,6444123.74
2023-06-06 00:00:00.000,TH28,5017435.1
2023-06-07 00:00:00.000,TH28,4306125.31
2023-06-08 00:00:00.000,TH28,4928597.46
2023-06-09 00:00:00.000,TH28,5481348.8
2023-06-10 00:00:00.000,TH28,6775932.46
2023-06-11 00:00:00.000,TH28,5777045.21
2023-06-12 00:00:00.000,TH28,5553320.63
2023-06-13 00:00:00.000,TH28,5265046.93
2023-06-14 00:00:00.000,TH28,6034672.17
2023-06-15 00:00:00.000,TH28,4490801.83
2023-06-16 00:00:00.000,TH28,4160467.65
2023-06-17 00:00:00.000,TH28,4838459.54
2023-06-18 00:00:00.000,TH28,8132501.97
